id,name,calories,proteins,fat,carbohydrate,is_energizing,is_relaxing,is_focusing,primary_mood,calorie_category,protein_category,fat_category,carb_category,nutrient_balance,vitamin_a,vitamin_c,vitamin_b,iron,calcium,has_recipe,calorie_category_num,protein_category_num,fat_category_num,carb_category_num,nutrient_balance_num,mood_energizing,mood_focusing,mood_relaxing,mood_uncategorized
1,Abon,0.2978723404255319,0.1108433734939759,0.284,0.0,0,0,0,uncategorized,medium,low,medium,,high_fat,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,0.3333333333333333,0.6666666666666667,,0.5,False,False,False,True
2,Abon haruwan,0.5457446808510639,0.2855421686746988,0.37,0.03292117465224111,0,0,0,uncategorized,high,medium,high,low,high_fat,0.0,0.0,0.0,0.0,0.0,0,1.0,0.6666666666666667,1.0,0.3333333333333333,0.5,False,False,False,True
3,Agar-agar,0.0,0.0,0.002,0.0,0,1,0,relaxing,,,very_low,,high_fat,0.0,0.0,0.0,0.0,0.0,0,,,0.0,,0.5,False,False,True,False
4,Akar tonjong segar,0.047872340425531915,0.013253012048192772,0.004,0.01669242658423493,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
5,Aletoge segar,0.039361702127659576,0.05301204819277109,0.005,0.0058732612055641415,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.75,False,False,True,False
6,Alpukat segar,0.09042553191489362,0.010843373493975905,0.065,0.011901081916537867,0,1,0,relaxing,very_low,very_low,low,very_low,high_fat,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0,0.5,False,False,True,False
7,Ampas kacang hijau,0.1021276595744681,0.04457831325301205,0.006,0.029520865533230294,0,1,0,relaxing,very_low,very_low,very_low,low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.3333333333333333,0.25,False,False,True,False
8,Ampas Tahu,0.44042553191489364,0.3204819277108434,0.18300000000000002,0.06383307573415764,0,0,0,uncategorized,high,medium,medium,medium,high_fat,0.0,0.0,0.0,0.0,0.0,0,1.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.5,False,False,False,True
9,Ampas tahu kukus,0.0797872340425532,0.04939759036144578,0.021,0.016537867078825347,0,1,0,relaxing,very_low,very_low,very_low,very_low,balanced,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,False,False,True,False
10,Ampas tahu mentah,0.07127659574468086,0.060240963855421686,0.021,0.012519319938176197,0,0,0,uncategorized,very_low,very_low,very_low,very_low,balanced,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,False,False,False,True
11,Anak sapi daging gemuk segar,0.19574468085106383,0.22650602409638557,0.14,0.0,0,0,1,focusing,low,medium,low,,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.6666666666666667,0.3333333333333333,,0.75,False,True,False,False
12,Anak sapi daging kurus segar,0.1851063829787234,0.23614457831325303,0.1,0.0,0,0,1,focusing,low,medium,low,,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.6666666666666667,0.3333333333333333,,0.75,False,True,False,False
13,Anak sapi daging sedang segar,0.2021276595744681,0.23012048192771087,0.12,0.0,0,0,1,focusing,low,medium,low,,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.6666666666666667,0.3333333333333333,,0.75,False,True,False,False
14,Andaliman segar,0.10531914893617021,0.05542168674698795,0.01,0.027820710973724884,0,1,0,relaxing,very_low,very_low,very_low,low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.3333333333333333,0.25,False,False,True,False
15,Andewi,0.026595744680851064,0.01927710843373494,0.002,0.008191653786707881,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
